state,year,HPI,HPI_change
Delaware,2018,458.0136514025126,1.0242016086143486
Delaware,2019,472.87979251492726,1.0324578559326607
Delaware,2020,490.2701866564553,1.0367755070459668
Connecticut,2018,417.19336691519624,1.0414795596640418
Connecticut,2019,441.7687954552691,1.0589065658492802
Connecticut,2020,468.36968711794435,1.0602145102513667
Colorado,2018,557.994843722571,1.0718041856704463
Colorado,2019,580.4203396829591,1.040189432237008
Colorado,2020,586.0252190932904,1.0096565868339362
California,2018,643.1276249851987,1.0564549799622889
California,2019,657.7614193114316,1.0227541062733383
California,2020,656.9628658955016,0.9987859527900467
Arkansas,2018,287.48827895605535,1.0481452931612518
Arkansas,2019,299.8045780413305,1.0428410477463597
Arkansas,2020,308.9266334253992,1.0304266714126398
Arizona,2018,401.5332622285885,1.0650953651718584
Arizona,2019,412.82177592073475,1.0281135207317391
Arizona,2020,414.2627010536124,1.003490429083262
Alaska,2018,328.2896398200827,1.0228321663129467
Alaska,2019,338.280655710627,1.030433540016736
Alaska,2020,350.4133942743777,1.0358658952527553
Alabama,2018,319.9305222046213,1.037421477553884
Alabama,2019,332.1195935178546,1.0380991198627725
Alabama,2020,343.29081978454167,1.0336361554232918
